id,x,y,z
2,-1.665500,-1.718230,-3.713059
8,-0.248710,0.307907,-3.908276
6,-2.372846,-0.540231,-3.894204
23,-2.753927,0.915431,-3.762340
21,-1.122820,2.122211,-3.906105
14,2.221259,0.578240,-4.059296
22,0.919747,2.248467,-3.985884
35,3.112252,1.670117,-4.413961
37,-3.282478,3.174558,-4.353944
39,0.787311,4.111670,-4.330035
40,-0.992855,5.627508,-4.255090
43,-3.243732,5.187935,-4.302903
46,-5.216801,5.714188,-4.501138
50,0.417977,7.688390,-4.496108
51,-2.778840,7.947949,-4.537086
55,-4.543330,2.214256,-4.483845
56,-1.005639,10.240852,-4.542202
63,-0.823690,13.801406,-4.583230
67,-4.266705,12.996847,-4.537238
84,-2.538598,26.448074,-3.381724
85,-4.344168,22.425354,-3.416025
86,-8.387335,25.491702,-3.323129
88,-5.293201,27.352480,-3.260377
89,1.328140,22.437375,-3.356120
90,-4.426447,24.435839,-3.088415
92,-6.716125,22.017928,-3.273525
93,-0.984859,23.249769,-3.024059
94,-9.491277,32.762730,-2.271253
95,-9.927860,28.603897,-2.513193
100,0.116492,27.549133,-2.262571
98,-6.831612,29.667606,-1.993523
99,-3.830205,31.622519,-1.593180
108,2.191489,34.556222,-1.772791
117,-1.983973,28.347626,-1.052513
120,2.030081,24.900496,-1.699201
122,-0.875575,21.425782,-2.432427
119,-1.812779,30.034785,0.002464
131,0.718071,26.618317,2.018572
127,-4.090339,27.737176,0.918950
128,3.531395,24.741071,-0.309005
129,-3.821527,18.644256,-3.998977
132,-8.435333,20.772303,-2.840299
133,2.765407,21.892901,-1.674047
134,6.426548,18.306346,-2.792345
135,-9.444591,24.307171,-2.010520
137,-1.498599,17.343670,-4.231584
136,-2.857419,13.489449,-5.137772
138,-0.896105,27.203914,2.908593
141,-10.273789,27.781129,-6.347806
143,-7.361080,17.313025,-3.785533
142,-6.403251,14.321352,-2.467019
146,-1.184429,17.839953,-3.288248
147,2.437833,15.910370,-3.656806
152,-0.865807,23.195871,-3.515867
155,0.982272,19.867009,-3.728419
157,5.306831,28.861182,-3.185049
159,7.730526,26.956424,-3.413366
158,-6.476904,18.204147,-3.876614
161,6.411171,21.791508,-3.721685
162,-4.026685,32.851945,-3.316429
160,7.143441,17.996683,-3.865532
163,1.598554,9.538169,-4.845720
166,-10.642599,22.639756,-3.834114
168,2.863241,35.958195,-2.886489
169,-2.847500,36.813396,-2.815497
171,-6.827527,35.177150,-3.109998
173,-10.818477,37.579888,-2.879629
174,6.782225,38.518295,-2.689910
175,-0.201560,39.301346,-2.542287
176,-12.291939,34.551044,-3.082893
179,-12.162859,40.912631,-2.333483
177,12.357650,25.063655,-3.319212
182,-4.388534,42.947637,-2.451485
183,-8.650146,43.953934,-2.634178
186,-6.978057,48.956522,-2.172154
187,0.231223,49.557795,-2.138188
188,0.805687,54.618609,-2.086141
189,6.971068,49.687508,-2.005035
191,5.923821,46.063056,-2.120722
192,9.899509,55.255368,-1.997148
193,-8.875656,53.680403,-1.978362
194,11.387385,38.511623,-2.660952
195,13.230703,43.087828,-2.469275
196,-13.370698,45.891178,-2.558172
197,-1.331570,60.026116,-2.045707
199,-15.668407,63.069731,-2.383598
200,-6.968801,64.841211,-2.245031
202,-16.155706,58.749439,-2.405508
203,-14.249715,52.253541,-2.539612
204,7.989297,74.329821,-2.676649
205,8.112718,65.257859,-2.283038
206,3.825611,68.821057,-2.397771
207,-12.574591,67.139234,-2.388986
208,-5.525971,70.100992,-2.155387
210,15.081540,68.205263,-1.579273
211,-12.346317,88.835958,-2.516246
215,-0.476441,73.928465,-1.381996
213,21.575318,85.075860,-0.400813
214,14.682402,80.154969,-0.693640
216,17.189141,93.825745,-0.766347
218,4.362639,87.281272,-1.453589
219,-14.195356,75.490441,-0.926781
220,-4.323569,79.026130,-0.984404
221,-6.482096,101.544991,1.062036
222,-16.684625,107.857631,0.020917
223,-16.019743,98.632378,0.758004
224,-7.036395,110.189792,1.689564
225,16.530053,104.522647,1.667811
226,4.884023,113.436948,1.975014
236,24.618304,71.412037,-0.656900
237,-20.483873,82.360212,-3.654020
238,1.115862,102.668739,-2.065445
234,-23.089813,70.549874,-4.587694
239,-20.320254,89.178046,-1.532187
240,30.032184,78.644560,-5.516434
235,-14.256538,36.719317,-3.611237
241,26.571981,59.437519,-7.262988
242,6.821498,39.131296,-1.842498
243,-22.010673,43.581627,1.981109
245,-25.051164,103.051435,-1.183847
244,-13.578771,26.443952,-1.173050
249,42.275503,44.766866,-3.825956
250,50.694467,89.590971,-6.708869
248,-16.651183,49.766683,1.225075
247,-10.278428,91.940499,-10.459978
253,12.270624,2.456420,-1.569648
254,-25.264733,113.438519,0.826003
251,62.780742,-13.546329,-12.799709
255,-30.812461,-4.038234,-3.866883
256,-0.198559,-9.665232,-6.844771
257,-41.663208,0.170354,-1.731596
258,-33.849680,95.732395,-4.230251
261,-35.768426,39.407584,2.867370
259,-17.943600,129.272716,-14.306182
260,-37.101596,72.602958,-7.113437
263,9.171988,-10.368115,2.954600
264,57.408775,-8.378796,5.596781
265,45.257188,-11.120074,4.246127
267,-11.936501,-10.098912,0.671438
268,-52.648992,-2.684225,5.103009
269,-37.472378,112.124073,3.435206
270,-46.977994,93.197183,3.026161
274,-48.592055,-21.273869,1.103484
271,-25.848546,-28.149921,-3.320893
272,30.456796,-33.773977,-8.488709
276,1.902906,-34.810592,0.381411
278,-55.357633,28.763255,-0.313999
279,-56.490124,-1.074447,6.430137
282,63.396311,117.517100,-27.151529
286,56.615290,82.679632,-6.302552
297,2.858083,72.969060,106.616454
326,-11.678423,107.082629,51.249262
340,-8.671310,38.708225,30.425948
314,-44.950623,63.390221,22.176992
323,-35.245745,89.356594,29.930798
328,3.906013,27.414976,53.171465
336,18.484364,122.484367,34.497402
327,-23.514871,77.258914,5.289032
329,5.803907,42.244164,6.180938
331,94.692510,82.129483,-87.008160
330,-31.144559,104.347398,21.784152
325,64.196079,37.351270,-56.454710
348,-15.353532,18.512142,17.730485
347,96.571059,71.047273,-21.760332
319,66.221615,119.480611,-33.513379
352,-45.487000,-9.192997,16.476970
349,20.441663,-21.028651,11.852966
350,66.054751,-30.766077,8.357795
302,-7.269953,114.882871,4.647121
353,-64.239344,-30.362230,12.895746
354,-14.486079,-28.525229,18.786778
355,6.239694,-31.244275,23.188249
356,48.862533,-50.459928,23.082082
394,-7.868602,-17.081265,35.220015
389,32.087063,-50.330759,34.929879
392,1.517750,-45.046803,31.268586
385,-25.577245,-21.978906,25.854714
391,30.049322,-19.319060,33.933731
399,59.792130,-17.347525,26.720360
403,13.882486,-31.289598,33.986392
405,57.693652,-49.285621,31.453751
408,52.181565,39.841273,31.276174
413,-38.657604,-8.672384,22.125279
415,-12.568867,-50.159266,29.570449
416,49.465439,-35.465760,27.472613
417,-46.478688,6.944434,26.523104
418,19.749864,-57.459816,27.458439
421,-27.017862,-45.814578,27.204942
428,-23.184654,34.673550,18.845706
427,-16.346032,45.232280,22.381792
424,6.460755,60.182899,31.144278
429,3.126568,-29.663738,-29.172818
435,71.103601,-1.447674,-1.856576
444,70.818211,-41.288229,0.653865
442,33.132917,-95.347731,-3.464182
441,56.377591,-98.289649,-6.189307
436,-8.583884,73.416823,-2.776256
450,-24.564174,7.396935,-5.222586
396,8.741003,41.378055,-38.029719
453,23.804182,50.044959,23.963640
455,-35.554580,-72.070307,0.059816
457,-47.791652,16.945842,-6.731116
461,20.201307,-18.698863,26.230802
463,37.200630,-61.241851,4.719060
462,-42.898933,-50.792219,4.743780
465,66.310797,-85.875520,-8.076983
464,-6.910042,10.541070,-8.784599
469,2.296412,-70.717658,-2.095916
470,-24.097956,-29.200844,-6.089067
472,4.168944,-46.010410,-1.807957
471,67.687154,0.394418,-3.298058
476,49.592873,-23.269697,1.207469
477,11.068944,70.198190,21.683539
474,-47.097164,-31.034436,-8.253867
480,35.165932,-15.973317,-6.174637
483,25.114911,-33.343239,7.130740
485,-1.564364,-34.032451,-7.335108
484,62.540972,-32.901571,3.425672
481,20.276038,38.225813,2.030796
487,-12.372805,0.283657,2.376580
490,4.590429,3.387806,2.219750
491,-10.338060,-10.438590,1.125764
492,-7.448787,41.223886,8.596023
496,-33.445892,-28.988771,-7.074508
497,-11.628695,65.932387,1.481639
498,11.138773,55.471330,5.697557
501,65.327564,-39.182086,-5.662666
499,-32.654010,-12.462584,-8.667046
502,-25.056161,58.998754,-14.393784
500,-14.150000,54.400574,-18.148411
506,16.833925,26.346726,-8.476139
504,4.837263,63.972871,-9.279763
475,10.662229,42.321987,-32.862868
505,19.678735,49.530785,6.819139
510,7.296909,14.248331,-1.680366
509,-25.589789,34.175324,-18.522228
512,-24.385938,-12.080669,-6.855176
513,12.671535,62.761119,5.886764
514,7.132724,28.419824,-10.888302
518,45.984559,-18.010861,2.281433
520,42.340971,-9.454772,-0.172055
521,-10.946942,60.181903,-5.992101
526,-19.261352,7.459311,-12.044340
524,1.278691,38.034524,-6.303112
525,-4.971791,58.620989,-15.438504
531,-22.789392,44.864748,-17.436418
529,24.398611,46.570174,7.214715
530,7.586273,53.018942,-5.456214
536,-4.823972,34.354963,-4.280274
535,4.803295,69.046815,-5.676628
537,-1.206307,73.971830,-5.170266
543,-4.945079,46.142883,-5.742810
541,-6.934695,77.209854,-4.794786
547,11.968596,69.964807,0.590716
539,20.155198,58.056946,0.403326
540,23.535476,67.770951,-0.682202
550,-0.687512,64.206140,-1.087951
549,7.107877,55.401639,0.147572
548,21.841490,49.731873,2.864480
551,8.435466,33.146911,1.932797
554,2.774375,49.386279,0.083696
556,13.559423,38.491075,0.819605
559,3.307275,43.717890,-0.268801
560,11.246343,17.955828,7.981184
557,15.737674,19.671147,12.839244
586,16.642231,46.023498,19.195874
587,15.863907,44.268302,12.008489
604,6.279686,25.709511,1.408746
602,5.523295,60.221117,-11.889565
594,-1.354839,57.335880,-6.000319
593,-4.607541,46.684952,-6.055168
617,7.270783,46.086371,-2.310577
622,31.404342,33.329419,0.339561
609,7.046253,64.468067,-5.167689
624,27.903869,46.949459,1.322825
629,-5.482591,40.891160,-3.102998
610,14.145582,58.114935,-2.926598
615,30.646654,55.953099,-1.434965
638,21.935129,51.406155,-0.296984
641,0.880536,34.132892,-2.121966
645,-3.823720,52.433552,-1.411382
632,14.080795,50.526781,-1.416417
646,3.237048,51.418476,-0.973853
648,14.891940,64.906567,-1.577411
651,23.601309,59.398012,-1.614971
642,13.869388,44.405236,0.042876
631,9.901013,33.192641,0.549226
653,21.089948,36.554422,0.663389
655,5.595199,31.453108,-0.621643
658,25.806490,41.577569,-0.174425
659,22.709936,45.293239,-0.493614
660,23.057164,26.891323,-0.762933
664,4.186956,39.630915,-0.909881
662,-1.241407,40.410678,-1.227311
663,12.522492,7.831788,-2.524570
661,18.680645,6.421827,-1.624087
666,8.294467,40.373095,-0.333508
667,0.870683,17.634341,0.140974
668,10.974107,23.703360,-1.567658
665,5.427269,10.403462,1.792254
672,10.797399,36.648216,-0.815079
674,19.612471,6.628756,3.236262
673,8.350337,5.391838,-1.317213
676,15.384591,0.267847,-1.068463
680,13.203812,32.895401,-0.855394
679,13.842652,27.743410,-1.365264
678,33.712146,-10.348993,-4.125363
682,18.481109,35.589869,-0.729961
683,23.699530,7.012546,-2.889777
681,14.988198,-3.518422,0.846695
684,3.350409,-1.737946,-4.367814
688,21.481946,22.343512,-1.453571
692,9.571027,18.215700,-2.160918
691,4.860704,10.116848,-2.748730
696,13.202895,21.878329,-1.779058
695,1.478555,21.378864,-1.438101
693,7.793183,-2.334529,-4.207971
694,-3.272621,3.550993,0.194055
700,6.244147,14.676887,-2.231483
699,4.277820,-6.823029,-3.098696
702,13.240464,0.099082,2.640962
703,8.900442,9.306419,-1.901535
721,15.454832,8.762175,-1.555662
723,11.696718,14.298858,-0.750442
719,7.795411,5.000858,-1.501333
727,9.427329,18.954761,-1.067250
724,6.158885,18.565093,1.761666
726,-0.031031,6.892592,-1.580047
717,0.502447,14.217603,-0.632748
725,-0.244472,10.596077,-1.548371
740,-2.548624,14.453785,-1.560894
739,-3.164107,20.673860,-3.561651
742,9.585015,16.211614,-1.066152
743,-3.456332,17.822765,-2.497206
748,-0.417867,18.686755,-2.270033
738,0.167558,22.072818,-5.737464
746,5.358299,23.187860,-4.700873
751,-1.963032,25.278312,-2.782784
753,13.136206,17.020941,-2.941887
750,-1.931229,11.523828,-2.573971
752,1.621873,25.393552,-3.197354
749,3.733309,13.486374,-1.692124
756,11.126409,21.184020,-2.897068
755,7.440311,11.559033,-1.987402
757,8.783978,21.366665,-2.965386
758,5.195591,20.709220,-2.754114
759,2.823299,20.931485,-2.807351
765,1.962927,18.074572,-2.707202
764,2.609148,15.378904,-2.731974
762,7.883714,14.764338,-2.702614
768,4.425516,15.463328,-2.885408
772,6.098651,8.790130,-2.980909
770,2.168622,6.538609,-2.801957
773,5.876399,6.831807,-2.937744
774,5.458331,12.285487,-3.073735
775,2.833951,10.608796,-3.052167
776,4.754104,8.205209,-2.967445
777,3.682678,5.585626,-2.936293
779,11.221531,3.562288,-3.286460
778,9.482789,3.175743,-2.914721
781,5.303658,4.064498,-2.971232
784,3.940586,11.694149,-3.045726
785,9.536706,9.849795,-3.154661
782,11.091821,2.179337,-2.840468
789,7.361355,6.529422,-3.237292
787,3.975833,0.927761,-3.210653
792,7.097287,2.755360,-3.093245
795,6.913172,5.073473,-3.239677
799,6.584988,3.948391,-3.311726
801,8.578278,3.637011,-3.573377
815,7.450705,4.548664,-3.447675
811,8.819346,6.391957,-2.710241
827,7.555552,6.059790,-3.061924
831,9.364329,6.087887,-2.828324
830,8.308439,6.648215,-2.944112
829,8.444534,5.860445,-2.558510
840,7.189996,4.232825,-3.107998
842,8.190382,4.965302,-3.532306
847,9.114939,6.906861,-2.989106
849,8.008872,6.506106,-3.228437
850,8.904725,4.615353,-2.897522
857,7.991481,7.049486,-3.351438
846,7.908046,5.646384,-3.126014
854,7.259329,5.088671,-3.356994
853,8.749481,6.372637,-3.331238
860,7.638499,6.691729,-3.365671
856,9.006507,5.764544,-3.521138
861,7.393291,5.504708,-3.365499
862,7.541002,4.464634,-3.008359
869,8.342830,5.525228,-2.978462
886,8.503291,4.276698,-3.047549
904,9.395515,3.125921,-2.976168
908,9.433175,2.638234,-3.065537
910,8.730672,4.194802,-3.053477
913,9.063414,4.380947,-3.029703
916,8.967118,4.518253,-3.006076
918,9.243621,4.307984,-3.079859
917,9.958284,3.399324,-3.042777
923,9.054748,3.791466,-3.098983
924,9.892885,3.846444,-3.067618
927,9.258594,3.219293,-3.111960
925,9.644212,3.203861,-3.071377
933,9.766074,4.269985,-3.155097
932,9.972733,4.492346,-3.152409
935,8.654094,4.395257,-3.134695
938,9.460810,3.755717,-3.171780
937,9.640710,4.468973,-3.193072
936,10.385265,4.020784,-3.167823
944,9.632460,3.369139,-3.119310
945,9.264423,3.979445,-3.029396
941,9.571227,2.895433,-3.071532
943,9.656377,5.147732,-3.079764
946,9.183499,2.883336,-3.140988
947,9.009213,3.224535,-3.141221
951,9.785188,2.671348,-3.153789
949,9.376432,4.434090,-3.048570
